Id,GrLivArea,SalePrice
1,1710,208500
2,1262,181500
3,1786,223500
4,1717,140000
5,2198,250000
6,1362,143000
7,1694,307000
8,2090,200000
9,1774,129900
10,1077,118000
11,1040,129500
12,2324,345000
13,912,144000
14,1494,279500
15,1253,157000
16,854,132000
17,1004,149000
18,1296,90000
19,1114,159000
20,1339,139000
21,2376,325300
22,1108,139400
23,1795,230000
24,1060,129900
25,1060,154000
26,1600,256300
27,900,134800
28,1704,306000
29,1600,207500
30,520,68500
31,1317,40000
32,1228,149350
33,1234,179900
34,1700,165500
35,1561,277500
36,2452,309000
37,1097,145000
38,1297,153000
39,1057,109000
40,1152,82000
41,1324,160000
42,1328,170000
43,884,144000
44,938,130250
45,1150,141000
46,1752,319900
47,2149,239686
48,1656,249700
49,1452,113000
50,955,127000
51,1470,177000
52,1176,114500
53,816,110000
54,1842,385000
55,1360,130000
56,1425,180500
57,1739,172500
58,1720,196500
59,2945,438780
60,780,124900
61,1158,158000
62,1111,101000
63,1370,202500
64,1710,140000
65,2034,219500
66,2473,317000
67,2207,180000
68,1479,226000
69,747,80000
70,2287,225000
71,2223,244000
72,845,129500
73,1718,185000
74,1086,144900
75,1605,107400
76,988,91000
77,952,135750
78,1285,127000
79,1768,136500
80,1230,110000
81,2142,193500
82,1337,153500
83,1563,245000
84,1065,126500
85,1474,168500
86,2417,260000
87,1560,174000
88,1224,164500
89,1526,85000
90,990,123600
91,1040,109900
92,1235,98600
93,964,163500
94,2291,133900
95,1786,204750
96,1470,185000
97,1588,214000
98,960,94750
99,835,83000
100,1225,128950
101,1610,205000
102,1732,178000
103,1535,118964
104,1226,198900
105,1818,169500
106,1992,250000
107,1047,100000
108,789,115000
109,1517,115000
110,1844,190000
111,1855,136900
112,1430,180000
113,2696,383970
114,2259,217000
115,2320,259500
116,1458,176000
117,1092,139000
118,1125,155000
119,3222,320000
120,1456,163990
121,988,180000
122,1123,100000
123,1080,136000
124,1199,153900
125,1586,181000
126,754,84500
127,958,128000
128,840,87000
129,1348,155000
130,1053,150000
131,2157,226000
132,2054,244000
133,1327,150750
134,1296,220000
135,1721,180000
136,1682,174000
137,1214,143000
138,1959,171000
139,1852,230000
140,1764,231500
141,864,115000
142,1734,260000
143,1385,166000
144,1501,204000
145,1728,125000
146,1709,130000
147,875,105000
148,2035,222500
149,1080,141000
150,1344,115000
151,969,122000
152,1710,372402
153,1993,190000
154,1252,235000
155,1200,125000
156,1096,79000
157,1040,109500
158,1968,269500
159,1947,254900
160,2462,320000
161,1232,162500
162,2668,412500
163,1541,220000
164,882,103200
165,1616,152000
166,1355,127500
167,1867,190000
168,2161,325624
169,1720,183500
170,1707,228000
171,1382,128500
172,1656,215000
173,1767,239000
174,1362,163000
175,1651,184000
176,2158,243000
177,2060,211000
178,1920,172500
179,2234,501837
180,968,100000
181,1525,177000
182,1802,200100
183,1340,120000
184,2082,200000
185,1252,127000
186,3608,475000
187,1217,173000
188,1656,135000
189,1224,153337
190,1593,286000
191,2727,315000
192,1479,184000
193,1431,192000
194,1709,130000
195,864,127000
196,1456,148500
197,1726,311872
198,3112,235000
199,2229,104000
200,1713,274900
201,1121,140000
202,1279,171500
203,1310,112000
204,848,149000
205,1284,110000
206,1442,180500
207,1696,143900
208,1100,141000
209,2062,277000
210,1092,145000
211,864,98000
212,1212,186000
213,1852,252678
214,990,156000
215,1392,161750
216,1236,134450
217,1436,210000
218,1328,107000
219,1954,311500
220,1248,167240
221,1498,204900
222,2267,200000
223,1552,179900
224,864,97000
225,2392,386250
226,1302,112000
227,2520,290000
228,987,106000
229,912,125000
230,1555,192500
231,1194,148000
232,2794,403000
233,987,94500
234,894,128200
235,1960,216500
236,987,89500
237,1414,185500
238,1744,194500
239,1694,318000
240,1487,113000
241,1566,262500
242,866,110500
243,1440,79000
244,1217,120000
245,2110,205000
246,1872,241500
247,1928,137000
248,1375,140000
249,1668,180000
250,2144,277000
251,1306,76500
252,1625,235000
253,1640,173000
254,1302,158000
255,1314,145000
256,2291,230000
257,1728,207500
258,1604,220000
259,1792,231500
260,882,97000
261,1382,176000
262,2574,276000
263,1212,151000
264,1316,130000
265,764,73000
266,1422,175500
267,1511,185000
268,2192,179500
269,778,120500
270,1113,148000
271,1939,266000
272,1363,241500
273,2270,290000
274,1632,139000
275,816,124500
276,1548,205000
277,1560,201000
278,864,141000
279,2121,415298
280,2022,192000
281,1982,228500
282,1262,185000
283,1314,207500
284,1468,244600
285,1575,179200
286,1250,164700
287,1734,159000
288,858,88000
289,900,122000
290,1396,153575
291,1919,233230
292,1716,135900
293,1716,131000
294,2263,235000
295,1644,167000
296,1003,142500
297,1558,152000
298,1950,239000
299,1743,175000
300,1152,158500
301,1336,157000
302,2452,267000
303,1541,205000
304,894,149900
305,3493,295000
306,2000,305900
307,2243,225000
308,1406,89500
309,861,82500
310,1944,360000
311,1501,165600
312,972,132000
313,1118,119900
314,2036,375000
315,1641,178000
316,1432,188500
317,2353,260000
318,1959,270000
319,2646,260000
320,1472,187500
321,2596,342643
322,2468,354000
323,2730,301000
324,1163,126175
325,2978,242000
326,803,87000
327,1719,324000
328,1383,145250
329,2134,214500
330,1192,78000
331,1728,119000
332,1056,139000
333,1629,284000
334,1358,207000
335,1638,192000
336,1786,228950
337,1922,377426
338,1536,214000
339,1621,202500
340,1215,155000
341,1908,202900
342,841,82000
343,1040,87500
344,1684,266000
345,1112,85000
346,1577,140200
347,958,151500
348,1478,157500
349,1626,154000
350,2728,437154
351,1869,318061
352,1453,190000
353,1111,95000
354,720,105900
355,1595,140000
356,1200,177500
357,1167,173000
358,1142,134000
359,1352,130000
360,1924,280000
361,912,156000
362,1505,145000
363,1922,198500
364,987,118000
365,1574,190000
366,1344,147000
367,1394,159000
368,1431,165000
369,1268,132000
370,1287,162000
371,1664,172400
372,1588,134432
373,752,125000
374,1319,123000
375,1928,219500
376,904,61000
377,914,148000
378,2466,340000
379,1856,394432
380,1800,179000
381,1691,127000
382,1301,187750
383,1797,213500
384,784,76000
385,1953,240000
386,1269,192000
387,1184,81000
388,1125,125000
389,1479,191000
390,2332,426000
391,1367,119000
392,1961,215000
393,882,106500
394,788,100000
395,1034,109000
396,1144,129000
397,894,123000
398,1812,169500
399,1077,67000
400,1550,241000
401,1288,245500
402,1310,164990
403,672,108000
404,2263,258000
405,1572,168000
406,1620,150000
407,1639,115000
408,1680,177000
409,2172,280000
410,2078,339750
411,1276,60000
412,1056,145000
413,1478,222000
414,1028,115000
415,2097,228000
416,1340,181134
417,1400,149500
418,2624,239000
419,1134,126000
420,1056,142000
421,1344,206300
422,1602,215000
423,988,113000
424,2630,315000
425,1196,139000
426,1389,135000
427,1644,275000
428,907,109008
429,1208,195400
430,1412,175000
431,987,85400
432,1198,79900
433,1365,122500
434,1604,181000
435,630,81000
436,1661,212000
437,1118,116000
438,904,119000
439,694,90350
440,1196,110000
441,2402,555000
442,1440,118000
443,1573,162900
444,1258,172500
445,1908,210000
446,1689,127500
447,1888,190000
448,1886,199900
449,1376,119500
450,1183,120000
451,813,110000
452,1533,280000
453,1756,204000
454,1590,210000
455,1728,188000
456,1242,175500
457,1344,98000
458,1663,256000
459,1666,161000
460,1203,110000
461,1935,263435
462,1135,155000
463,864,62383
464,1660,188700
465,1040,124000
466,1414,178740
467,1277,167000
468,1644,146500
469,1634,250000
470,1710,187000
471,1502,212000
472,1969,190000
473,1072,148000
474,1976,440000
475,1652,251000
476,970,132500
477,1493,208900
478,2643,380000
479,1718,297000
480,1131,89471
481,1850,326000
482,1792,374000
483,1826,155000
484,1216,164000
485,999,132500
486,1113,147000
487,1073,156000
488,1484,175000
489,2414,160000
490,630,86000
491,1304,115000
492,1578,133000
493,1456,172785
494,1269,155000
495,886,91300
496,720,34900
497,3228,430000
498,1820,184000
499,899,130000
500,912,120000
501,1218,113000
502,1768,226700
503,1214,140000
504,1801,289000
505,1322,147000
506,1960,124500
507,1911,215000
508,1218,208300
509,1378,161000
510,1041,124500
511,1363,164900
512,1368,202665
513,864,129900
514,1080,134000
515,789,96500
516,2020,402861
517,2119,158000
518,2344,265000
519,1796,211000
520,2080,234000
521,1294,106250
522,1244,150000
523,1664,159000
524,4676,184750
525,2398,315750
526,1266,176000
527,928,132000
528,2713,446261
529,605,86000
530,2515,200624
531,1509,175000
532,1362,128000
533,827,107500
534,334,39300
535,1414,178000
536,1347,107500
537,1724,188000
538,864,111250
539,1159,158000
540,1601,272000
541,1838,315000
542,2285,248000
543,1680,213250
544,767,133000
545,1496,179665
546,2183,229000
547,1635,210000
548,768,129500
549,825,125000
550,2094,263000
551,1069,140000
552,928,112500
553,1717,255500
554,1126,108000
555,2046,284000
556,1048,113000
557,1092,141000
558,1336,108000
559,1446,175000
560,1557,234000
561,1392,121500
562,1389,170000
563,996,108000
564,1674,185000
565,2295,268000
566,1647,128000
567,2504,325000
568,1535,214000
569,2132,316600
570,943,135960
571,1728,142600
572,864,120000
573,1692,224500
574,1430,170000
575,1109,139000
576,1216,118500
577,1477,145000
578,1320,164500
579,1392,146000
580,1795,131500
581,1429,181900
582,2042,253293
583,816,118500
584,2775,325000
585,1573,133000
586,2028,369900
587,838,130000
588,860,137000
589,1473,143000
590,935,79500
591,1582,185900
592,2296,451950
593,816,138000
594,848,140000
595,924,110000
596,1826,319000
597,1368,114504
598,1402,194201
599,1647,217500
600,1556,151000
601,1904,275000
602,1375,141000
603,1915,220000
604,1200,151000
605,1494,221000
606,1986,205000
607,1040,152000
608,2008,225000
609,3194,359100
610,1029,118500
611,2153,313000
612,1032,148000
613,1872,261500
614,1120,147000
615,630,75500
616,1054,137500
617,1509,183200
618,832,105500
619,1828,314813
620,2262,305000
621,864,67000
622,2614,240000
623,980,135000
624,1512,168500
625,1790,165150
626,1116,160000
627,1422,139900
628,1520,153000
629,2080,135000
630,1350,168500
631,1750,124000
632,1554,209500
633,1411,82500
634,1056,139400
635,1056,144000
636,3395,200000
637,800,60000
638,1387,93000
639,796,85000
640,1567,264561
641,1518,274000
642,1929,226000
643,2704,345000
644,1620,152000
645,1766,370878
646,981,143250
647,1048,98300
648,1094,155000
649,1839,155000
650,630,84500
651,1665,205950
652,1510,108000
653,1716,191000
654,1469,135000
655,2113,350000
656,1092,88000
657,1053,145500
658,1502,149000
659,1458,97500
660,1486,167000
661,1935,197900
662,2448,402000
663,1392,110000
664,1181,137500
665,2097,423000
666,1936,230500
667,2380,129000
668,1679,193500
669,1437,168000
670,1180,137500
671,1476,173500
672,1369,103600
673,1208,165000
674,1839,257500
675,1136,140000
676,1441,148500
677,1774,87000
678,792,109500
679,2046,372500
680,988,128500
681,923,143000
682,1520,159434
683,1291,173000
684,1668,285000
685,1839,221000
686,2090,207500
687,1761,227875
688,1102,148800
689,1419,392000
690,1362,194700
691,848,141000
692,4316,755000
693,2519,335000
694,1073,108480
695,1539,141500
696,1137,176000
697,616,89000
698,1148,123500
699,894,138500
700,1391,196000
701,1800,312500
702,1164,140000
703,2576,361919
704,1812,140000
705,1484,213000
706,1092,55000
707,1824,302000
708,1324,254000
709,1456,179540
710,904,109900
711,729,52000
712,1178,102776
713,1228,189000
714,960,129000
715,1479,130500
716,1350,165000
717,2554,159500
718,1178,157000
719,2418,341000
720,971,128500
721,1742,275000
722,848,143000
723,864,124500
724,1470,135000
725,1698,320000
726,864,120500
727,1680,222000
728,1232,194500
729,1776,110000
730,1208,103000
731,1616,236500
732,1146,187500
733,2031,222500
734,1144,131400
735,948,108000
736,1768,163000
737,1040,93500
738,1801,239900
739,1200,179000
740,1728,190000
741,1432,132000
742,912,142000
743,1349,179000
744,1464,175000
745,1337,180000
746,2715,299800
747,2256,236000
748,2640,265979
749,1720,260400
750,1529,98000
751,1140,96500
752,1320,162000
753,1494,217000
754,2098,275500
755,1026,156000
756,1471,172500
757,1768,212000
758,1386,158900
759,1501,179400
760,2531,290000
761,864,127500
762,1301,100000
763,1547,215200
764,2365,337000
765,1494,270000
766,1506,264132
767,1714,196500
768,1750,160000
769,1836,216837
770,3279,538000
771,858,134900
772,1220,102000
773,1117,107000
774,912,114500
775,1973,395000
776,1204,162000
777,1614,221500
778,894,142500
779,2020,144000
780,1004,135000
781,1253,176000
782,1603,175900
783,1430,187100
784,1110,165500
785,1484,128000
786,1342,161500
787,1652,139000
788,2084,233000
789,901,107900
790,2087,187500
791,1145,160200
792,1062,146800
793,2013,269790
794,1496,225000
795,1895,194500
796,1564,171000
797,1285,143500
798,773,110000
799,3140,485000
800,1768,175000
801,1688,200000
802,1196,109900
803,1456,189000
804,2822,582933
805,1128,118000
806,1428,227680
807,980,135500
808,1576,223500
809,1086,159950
810,2138,106000
811,1309,181000
812,848,144500
813,1044,55993
814,1442,157900
815,1250,116000
816,1661,224900
817,1008,137000
818,1689,271000
819,1052,155000
820,1358,224000
821,1640,183000
822,936,93000
823,1733,225000
824,1489,139500
825,1489,232600
826,2084,385000
827,784,109500
828,1434,189000
829,2126,185000
830,1223,147400
831,1392,166000
832,1200,151000
833,1829,237000
834,1516,167000
835,1144,139950
836,1067,128000
837,1559,153500
838,987,100000
839,1099,144000
840,1200,130500
841,1482,140000
842,1539,157500
843,1165,174900
844,1800,141000
845,1416,153900
846,1701,171000
847,1775,213000
848,864,133500
849,2358,240000
850,1855,187000
851,848,131500
852,1456,215000
853,1646,164000
854,1445,158000
855,1779,170000
856,1040,127000
857,1026,147000
858,1481,174000
859,1370,152000
860,2654,250000
861,1426,189950
862,1039,131500
863,1097,152000
864,1148,132500
865,1372,250580
866,1002,148500
867,1646,248900
868,1120,129000
869,2320,169000
870,1949,236000
871,894,109500
872,1682,200500
873,910,116000
874,1268,133000
875,1131,66500
876,2610,303477
877,1040,132250
878,2224,350000
879,1155,148000
880,864,136500
881,1090,157000
882,1717,187500
883,1593,178000
884,2230,118500
885,892,100000
886,1709,328900
887,1712,145000
888,1393,135500
889,2217,268000
890,1505,149500
891,924,122900
892,1683,172500
893,1068,154500
894,1383,165000
895,1535,118858
896,1796,140000
897,951,106500
898,2240,142953
899,2364,611657
900,1236,135000
901,858,110000
902,1306,153000
903,1509,180000
904,1670,240000
905,902,125500
906,1063,128000
907,1636,255000
908,2057,250000
909,902,131000
910,1484,174000
911,2274,154300
912,1268,143500
913,1015,88000
914,2002,145000
915,1224,173733
916,1092,75000
917,480,35311
918,1229,135000
919,2127,238000
920,1414,176500
921,1721,201000
922,2200,145900
923,1316,169990
924,1617,193000
925,1686,207500
926,1126,175000
927,2374,285000
928,1978,176000
929,1788,236500
930,2236,222000
931,1466,201000
932,925,117500
933,1905,320000
934,1500,190000
935,2069,242000
936,747,79900
937,1200,184900
938,1971,253000
939,1962,239799
940,2403,244400
941,1728,150900
942,2060,214000
943,1440,150000
944,1632,143000
945,1344,137500
946,1869,124900
947,1144,143000
948,1629,270000
949,1776,192500
950,1381,197500
951,864,129000
952,965,119900
953,768,133900
954,1968,172000
955,980,127500
956,1958,145000
957,1229,124000
958,1057,132000
959,1337,185000
960,1416,155000
961,858,116500
962,2872,272000
963,1548,155000
964,1800,239000
965,1894,214900
966,1484,178900
967,1308,160000
968,1098,135000
969,968,37900
970,1095,140000
971,1192,135000
972,1626,173000
973,918,99500
974,1428,182000
975,2019,167500
976,1382,165000
977,869,85500
978,1241,199900
979,894,110000
980,1121,139000
981,999,178400
982,2612,336000
983,1266,159895
984,2290,255900
985,1734,126000
986,1164,125000
987,1635,117000
988,1940,395192
989,2030,195000
990,1576,197000
991,2392,348000
992,1742,168000
993,1851,187000
994,1500,173900
995,1718,337500
996,1230,121600
997,1050,136500
998,1442,185000
999,1077,91000
1000,1208,206000
1001,944,82000
1002,691,86000
1003,1574,232000
1004,1680,136905
1005,1504,181000
1006,985,149900
1007,1657,163500
1008,1092,88000
1009,1710,240000
1010,1522,102000
1011,1271,135000
1012,1664,100000
1013,1502,165000
1014,1022,85000
1015,1082,119200
1016,1665,227000
1017,1504,203000
1018,1360,187500
1019,1472,160000
1020,1506,213490
1021,1132,176000
1022,1220,194000
1023,1248,87000
1024,1504,191000
1025,2898,287000
1026,882,112500
1027,1264,167500
1028,1646,293077
1029,1376,105000
1030,1218,118000
1031,1928,160000
1032,3082,197000
1033,2520,310000
1034,1654,230000
1035,954,119750
1036,845,84000
1037,1620,315500
1038,2263,287000
1039,1344,97000
1040,630,80000
1041,1803,155000
1042,1632,173000
1043,1306,196000
1044,2329,262280
1045,2524,278000
1046,1733,139600
1047,2868,556581
1048,990,145000
1049,1771,115000
1050,930,84900
1051,1302,176485
1052,1316,200141
1053,1977,165000
1054,1526,144500
1055,1989,255000
1056,1523,180000
1057,1364,185850
1058,1850,248000
1059,2184,335000
1060,1991,220000
1061,1338,213500
1062,894,81000
1063,2337,90000
1064,1103,110500
1065,1154,154000
1066,2260,328000
1067,1571,178000
1068,1611,167900
1069,2521,151400
1070,893,135000
1071,1048,135000
1072,1556,154000
1073,1456,91500
1074,1426,159500
1075,1240,194000
1076,1740,219500
1077,1466,170000
1078,1096,138800
1079,848,155900
1080,990,126000
1081,1258,145000
1082,1040,133000
1083,1459,192000
1084,1251,160000
1085,1498,187500
1086,996,147000
1087,1092,83500
1088,1953,252000
1089,1709,137500
1090,1247,197000
1091,1040,92900
1092,1252,160000
1093,1694,136500
1094,1200,146000
1095,936,129000
1096,1314,176432
1097,1355,127000
1098,1088,170000
1099,1324,128000
1100,1601,157000
1101,438,60000
1102,950,119500
1103,1134,135000
1104,1194,159500
1105,1302,106000
1106,2622,325000
1107,1442,179900
1108,2021,274725
1109,1690,181000
1110,1836,280000
1111,1658,188000
1112,1964,205000
1113,816,129900
1114,1008,134500
1115,833,117000
1116,1734,318000
1117,1419,184100
1118,894,130000
1119,1601,140000
1120,1040,133700
1121,1012,118400
1122,1552,212900
1123,960,112000
1124,698,118000
1125,1482,163900
1126,1005,115000
1127,1555,174000
1128,1530,259000
1129,1959,215000
1130,936,140000
1131,1981,135000
1132,974,93500
1133,2210,117500
1134,2020,239500
1135,1600,169000
1136,986,102000
1137,1252,119000
1138,1020,94000
1139,1567,196000
1140,1167,144000
1141,952,139000
1142,1868,197500
1143,2828,424870
1144,1006,80000
1145,924,80000
1146,1576,149000
1147,1298,180000
1148,1564,174500
1149,1111,116900
1150,1482,143000
1151,932,124000
1152,1466,149900
1153,1811,230000
1154,816,120500
1155,1820,201800
1156,1437,218000
1157,1265,179900
1158,1314,230000
1159,1580,235128
1160,1876,185000
1161,1456,146000
1162,1640,224000
1163,894,129000
1164,1258,108959
1165,1432,194000
1166,1502,233170
1167,1694,245350
1168,1671,173000
1169,2108,235000
1170,3627,625000
1171,1118,171000
1172,1261,163000
1173,1250,171900
1174,3086,200500
1175,2345,239000
1176,2872,285000
1177,923,119500
1178,1224,115000
1179,1343,154900
1180,1124,93000
1181,2514,250000
1182,1652,392500
1183,4476,745000
1184,1130,120000
1185,1572,186700
1186,1221,104900
1187,1699,95000
1188,1624,262000
1189,1660,195000
1190,1804,189000
1191,1622,168000
1192,1441,174000
1193,1472,125000
1194,1224,165000
1195,1352,158000
1196,1456,176000
1197,1863,219210
1198,1690,144000
1199,1212,178000
1200,1382,148000
1201,864,116050
1202,1779,197900
1203,1348,117000
1204,1630,213000
1205,1074,153500
1206,2196,271900
1207,1056,107000
1208,1700,200000
1209,1283,140000
1210,1660,290000
1211,1845,189000
1212,1752,164000
1213,672,113000
1214,960,145000
1215,999,134500
1216,894,125000
1217,1902,112000
1218,1314,229456
1219,912,80500
1220,1218,91500
1221,912,115000
1222,1211,134000
1223,1846,143000
1224,2136,137900
1225,1490,184000
1226,1138,145000
1227,1933,214000
1228,912,147000
1229,1702,367294
1230,1507,127000
1231,2620,190000
1232,1190,132500
1233,1224,101800
1234,1188,142000
1235,1964,130000
1236,1784,138887
1237,1626,175500
1238,1948,195000
1239,1141,142500
1240,1484,265900
1241,1768,224900
1242,1689,248328
1243,1173,170000
1244,2076,465000
1245,1517,230000
1246,1868,178000
1247,1553,186500
1248,1034,169900
1249,2058,129500
1250,988,119000
1251,2110,244000
1252,1405,171750
1253,874,130000
1254,2167,294000
1255,1656,165400
1256,1367,127500
1257,1987,301500
1258,864,99900
1259,1166,190000
1260,1054,151000
1261,1675,181000
1262,1050,128900
1263,1788,161500
1264,1824,180500
1265,1337,181000
1266,1452,183900
1267,1889,122000
1268,2018,378500
1269,3447,381000
1270,1524,144000
1271,1524,260000
1272,1489,185750
1273,935,137000
1274,1357,177000
1275,1250,139000
1276,1920,137000
1277,1395,162000
1278,1724,197900
1279,2031,237000
1280,1128,68400
1281,1573,227000
1282,1339,180000
1283,1040,150500
1284,1824,139000
1285,2447,169000
1286,1412,132500
1287,1328,143000
1288,1582,190000
1289,1659,278000
1290,1970,281000
1291,1152,180500
1292,1302,119500
1293,2372,107500
1294,1664,162900
1295,864,115000
1296,1052,138500
1297,1128,155000
1298,1072,140000
1299,5642,160000
1300,1246,154000
1301,1983,225000
1302,1494,177500
1303,2526,290000
1304,1616,232000
1305,1708,130000
1306,1652,325000
1307,1368,202500
1308,990,138000
1309,1122,147000
1310,1294,179200
1311,1902,335000
1312,1274,203000
1313,2810,302000
1314,2599,333168
1315,948,119000
1316,2112,206900
1317,1630,295493
1318,1352,208900
1319,1787,275000
1320,948,111000
1321,1478,156500
1322,720,72500
1323,1923,190000
1324,708,82500
1325,1795,147000
1326,796,55000
1327,774,79000
1328,816,130500
1329,2792,256000
1330,1632,176500
1331,1588,227000
1332,954,132500
1333,816,100000
1334,1360,125500
1335,1365,125000
1336,1334,167900
1337,1656,135000
1338,693,52500
1339,1861,200000
1340,864,128500
1341,872,123000
1342,1114,155000
1343,2169,228500
1344,1913,177000
1345,1456,155835
1346,960,108500
1347,2156,262500
1348,1776,283463
1349,1494,215000
1350,2358,122000
1351,2634,200000
1352,1716,171000
1353,1176,134900
1354,3238,410000
1355,1865,235000
1356,1920,170000
1357,892,110000
1358,1078,149900
1359,1573,177500
1360,1980,315000
1361,2601,189000
1362,1530,260000
1363,1738,104900
1364,1412,156932
1365,1200,144152
1366,1674,216000
1367,1790,193000
1368,1475,127000
1369,848,144000
1370,1668,232000
1371,1374,105000
1372,1661,165500
1373,2097,274300
1374,2633,466500
1375,1958,250000
1376,1571,239000
1377,790,91000
1378,1604,117000
1379,987,83000
1380,1394,167500
1381,864,58500
1382,2117,237500
1383,1762,157000
1384,1416,112000
1385,1258,105000
1386,1154,125500
1387,2784,250000
1388,2526,136000
1389,1746,377500
1390,1218,131000
1391,1525,235000
1392,1584,124000
1393,900,123000
1394,1912,163000
1395,1500,246578
1396,2482,281213
1397,1687,160000
1398,1513,137500
1399,1904,138000
1400,1608,137450
1401,1158,120000
1402,1593,193000
1403,1294,193879
1404,1464,282922
1405,1214,105000
1406,1646,275000
1407,768,133000
1408,833,112000
1409,1363,125500
1410,2093,215000
1411,1840,230000
1412,1668,140000
1413,1040,90000
1414,1844,257000
1415,1848,207000
1416,1569,175900
1417,2290,122500
1418,2450,340000
1419,1144,124000
1420,1844,223000
1421,1416,179900
1422,1069,127500
1423,848,136500
1424,2201,274970
1425,1344,144000
1426,1252,142000
1427,2127,271000
1428,1558,140000
1429,804,119000
1430,1440,182900
1431,1838,192140
1432,958,143750
1433,968,64500
1434,1792,186500
1435,1126,160000
1436,1537,174000
1437,864,120500
1438,1932,394617
1439,1236,149700
1440,1725,197000
1441,2555,191000
1442,848,149300
1443,2007,310000
1444,952,121000
1445,1422,179600
1446,913,129000
1447,1188,157900
1448,2090,240000
1449,1346,112000
1450,630,92000
1451,1792,136000
1452,1578,287090
1453,1072,145000
1454,1140,84500
1455,1221,185000
1456,1647,175000
1457,2073,210000
1458,2340,266500
1459,1078,142125
1460,1256,147500
